食堂名称,菜品名称,口味分类,价格,评分,评论,录入时间
鲲园,红烧肉,重口,8.0,4,还可以,2026-06-09 21:46:38
鲲园,蒜蓉白菜,清淡,4.0,2,没什么味道,2026-06-09 21:47:22
鲲园,凉拌黄瓜,减脂,7.0,5,好吃好吃,2026-06-09 21:58:22
鲲园,辣子鸡,香辣,15.0,5,辣的够味,2026-06-09 21:58:53
鲲园,豆浆,甜口,2.5,5,辣的够味,2026-06-09 21:59:26
鲲园,鱼香肉丝,甜口,9.0,3,甜辣口的,2026-06-16 10:55:22
泽园,辣土豆烧牛肉丸,香辣,12.0,4,好吃就是有点贵,2026-06-16 11:00:25
泽园,糖拌西红柿,减脂,12.0,4,好吃就是有点贵,2026-06-16 11:00:42
泽园,糖拌西红柿,减脂,10.0,5,好吃而且减脂,2026-06-16 11:00:56
泽园,口水鸡,重口,26.0,2,好贵而且味道一般,2026-06-16 11:01:37
泽园,奥利奥雪媚娘,甜口,8.0,5,特别好吃,2026-06-16 11:02:11
泽园,白灼虾,清淡,45.0,2,太贵了，不是大学生能吃得起的,2026-06-16 11:03:13
鲲园,火锅鸡,重口,58.0,3,好吃适合两个人一起吃,2026-06-16 11:04:58
